address,neighborhood,list_price,lat,lon,estimator_low,estimator_final,estimator_high,estimator_range,delta_list_minus_estimator,delta_estimator_minus_list,confidence_score,confidence_label,error
10643 98 Street,McCauley,888888.0,53.5509271,-113.4902621,180107.21,236983.17,293859.13,113751.92000000001,651904.83,-651904.83,99.0,high,
10951 96 ST NW NW,McCauley,285000.0,53.557648,-113.4879422,334991.73,440778.59,546565.45,211573.71999999997,-155778.59000000003,155778.59000000003,99.0,high,
10928 92 ST NW,McCauley,216900.0,53.5578009,-113.4813607,304418.51,382755.88,461093.25,156674.74,-165855.88,165855.88,99.0,high,
9638 106 AV NW,McCauley,350000.0,53.5505301,-113.4872463,259618.83,339178.72,418738.61,159119.78,10821.280000000028,-10821.280000000028,99.0,high,
10917 96 ST NW,McCauley,259900.0,53.557648,-113.4879422,334991.73,440778.59,546565.45,211573.71999999997,-180878.59000000003,180878.59000000003,99.0,high,
10803 93 ST NW,Northmount,269900.0,53.6016924,-113.4846952,315948.42,415721.61,515494.8,199546.38,-145821.61,145821.61,99.0,high,
10730 92 ST NW,McCauley,210000.0,53.554462,-113.4792054,288382.73,379450.96,470519.19,182136.46000000002,-169450.96000000002,169450.96000000002,99.0,high,
10933 93 ST NW,McCauley,149900.0,53.557714,-113.482044,159126.74,209377.29,259627.84,100501.1,-59477.29000000001,59477.29000000001,99.0,high,
6226 172A AV NW,Schonsee,679500.0,53.6339964,-113.452198,561078.35,661206.7,761335.05,200256.70000000007,18293.300000000047,-18293.300000000047,99.0,high,
17534 60A ST NW,Hillview,689000.0,53.4732146,-113.4286884,486894.86,595306.47,703718.08,216823.21999999997,93693.53000000003,-93693.53000000003,99.0,high,
6298 180 AV NW,Elsinore,559900.0,53.6428075,-113.4982276,396524.61,489600.52,582676.43,186151.82000000007,70299.47999999998,-70299.47999999998,99.0,high,
1424 MCCONACHIE BV NW,McConachie,399000.0,53.6398072,-113.4362233,475567.32,625746.47,775925.62,300358.3,-226746.46999999997,226746.46999999997,99.0,high,
16720 61 ST NW,McConachie,629000.0,53.6303111,-113.4345621,597662.45,706872.56,816082.67,218420.2200000001,-77872.56000000006,77872.56000000006,99.0,high,
#79 17635 58 ST NW,Montrose,370000.0,53.5774536,-113.4306851,242235.92,315135.66,388035.4,145799.48,54864.340000000026,-54864.340000000026,99.0,high,
#207 1080 Mcconachie BV NW NW,McConachie,145000.0,53.6352712,-113.4270413,502668.48,621674.8,740681.12,238012.64,-476674.80000000005,476674.80000000005,87.0,high,
17630 61A ST NW,McLeod,464900.0,53.609167,-113.4363464,339029.01,391913.98,444798.95,105769.94,72986.02000000002,-72986.02000000002,99.0,high,
6307 175 AV NW,Elsinore,592600.0,53.6379708,-113.4935594,413344.93,508152.66,602960.39,189615.46000000002,84447.34000000003,-84447.34000000003,99.0,high,
5732 168 AV NW NW,Aldergrove,545000.0,53.5177033,-113.645471,384805.34,449783.65,514761.96,129956.62,95216.34999999998,-95216.34999999998,99.0,high,
6109 175A AV NW,Chambery,635000.0,53.6398401,-113.5068926,483680.29,573982.4,664284.51,180604.22000000003,61017.59999999998,-61017.59999999998,99.0,high,
6303 169 AV NW,Canossa,615000.0,53.6313899,-113.5210723,329628.18,425353.23,521078.28,191450.10000000003,189646.77000000002,-189646.77000000002,99.0,high,
10950 73 AV NW,McKernan,475000.0,53.509646,-113.5143666,403914.37,500696.39,597478.41,193564.04000000004,-25696.390000000014,25696.390000000014,99.0,high,
