neighbourhood_number,neighbourhood,ward,population_2021,households_2021,area_sq_km,population_characteristic,households_characteristic,source_area_id,geography_level
5457,CALLAGHAN,Ipiihkoohkanipiaohtsi,4060.0,1535.0,0.8109805658459663,total_population,sum_household_size_distribution,N5457,neighbourhood
5458,ALLARD,Ipiihkoohkanipiaohtsi,8285.0,2875.0,1.6153265796601772,total_population,sum_household_size_distribution,N5458,neighbourhood
5460,SKYRATTLER,Ipiihkoohkanipiaohtsi,2075.0,1065.0,0.6127037741243839,total_population,sum_household_size_distribution,N5460,neighbourhood
5462,CHAPPELLE AREA,Ipiihkoohkanipiaohtsi,10910.0,3780.0,4.7650836035609245,total_population,sum_household_size_distribution,N5462,neighbourhood
5463,DESROCHERS AREA,Ipiihkoohkanipiaohtsi,2100.0,670.0,1.167985949665308,total_population,sum_household_size_distribution,N5463,neighbourhood
5465,HAYS RIDGE AREA,Ipiihkoohkanipiaohtsi,595.0,205.0,2.4058406315743923,total_population,sum_household_size_distribution,N5465,neighbourhood
5466,CASHMAN,Ipiihkoohkanipiaohtsi,,,1.0667719915509224,,,N5466,neighbourhood
5467,CAVANAGH,Ipiihkoohkanipiaohtsi,2195.0,675.0,1.9231518357992172,total_population,sum_household_size_distribution,N5467,neighbourhood
5468,GRAYDON HILL,Ipiihkoohkanipiaohtsi,1140.0,415.0,0.6534423828125,total_population,sum_household_size_distribution,N5468,neighbourhood
5469,PAISLEY,Ipiihkoohkanipiaohtsi,1740.0,660.0,0.6475489474833012,total_population,sum_household_size_distribution,N5469,neighbourhood
5470,STEINHAUER,Ipiihkoohkanipiaohtsi,1995.0,740.0,0.912085983902216,total_population,sum_household_size_distribution,N5470,neighbourhood
5472,HERITAGE VALLEY TOWN CENTRE,Ipiihkoohkanipiaohtsi,,,,,,N5472,neighbourhood
5476,MAGRATH HEIGHTS,pihêsiwin,3815.0,1235.0,1.2194547206163406,total_population,sum_household_size_distribution,N5476,neighbourhood
5477,MACTAGGART,pihêsiwin,3515.0,1280.0,1.0271147191524506,total_population,sum_household_size_distribution,N5477,neighbourhood
5480,STRATHCONA,papastew,8695.0,5100.0,1.5499023608863354,total_population,sum_household_size_distribution,N5480,neighbourhood
5490,SWEET GRASS,Ipiihkoohkanipiaohtsi,2615.0,1005.0,0.9093531891703606,total_population,sum_household_size_distribution,N5490,neighbourhood
5505,AMBLESIDE,pihêsiwin,6700.0,2545.0,3.126948907971382,total_population,sum_household_size_distribution,N5505,neighbourhood
5511,TWIN BROOKS,Ipiihkoohkanipiaohtsi,6280.0,2265.0,2.1178077682852745,total_population,sum_household_size_distribution,N5511,neighbourhood
5520,UNIVERSITY OF ALBERTA,papastew,,150.0,1.1858775615692139,,sum_household_size_distribution,N5520,neighbourhood
5530,UNIVERSITY OF ALBERTA FARM,papastew,,,2.9506936334073544,,,N5530,neighbourhood
5540,WESTBROOK ESTATES,papastew,1185.0,460.0,1.15559633821249,total_population,sum_household_size_distribution,N5540,neighbourhood
5550,WHITEMUD CREEK RAVINE NORTH,papastew,,,0.7462807297706604,,,N5550,neighbourhood
5560,WHITEMUD CREEK RAVINE SOUTH,papastew,,,2.2294937931001186,,,N5560,neighbourhood
5565,WHITEMUD CREEK RAVINE TWIN BROOKS,Ipiihkoohkanipiaohtsi,,,1.6248606704175472,,,N5565,neighbourhood
5570,WINDERMERE,pihêsiwin,12575.0,4395.0,4.761587344110012,total_population,sum_household_size_distribution,N5570,neighbourhood
5571,RIVER VALLEY KENDAL,pihêsiwin,,,,,,N5571,neighbourhood
5572,RIVER VALLEY KESWICK,pihêsiwin,,,,,,N5572,neighbourhood
5573,KENDAL,pihêsiwin,,,,,,N5573,neighbourhood
5574,KESWICK,pihêsiwin,4140.0,1550.0,3.8268978260457516,total_population,sum_household_size_distribution,N5574,neighbourhood
5578,GLENRIDDING HEIGHTS,pihêsiwin,4385.0,1480.0,1.5826108008623123,total_population,sum_household_size_distribution,N5578,neighbourhood
5579,GLENRIDDING RAVINE,pihêsiwin,860.0,295.0,2.1709988079965115,total_population,sum_household_size_distribution,N5579,neighbourhood
5580,WINDSOR PARK,papastew,1340.0,490.0,0.7516077943146229,total_population,sum_household_size_distribution,N5580,neighbourhood
5590,BLACKBURNE,Ipiihkoohkanipiaohtsi,1430.0,570.0,0.7202689908444881,total_population,sum_household_size_distribution,N5590,neighbourhood
5610,HADDOW,pihêsiwin,4270.0,1555.0,1.2664597742259502,total_population,sum_household_size_distribution,N5610,neighbourhood
5620,HODGSON,pihêsiwin,2630.0,940.0,0.6853461116552353,total_population,sum_household_size_distribution,N5620,neighbourhood
5630,LEGER,pihêsiwin,2495.0,845.0,1.0479175969958305,total_population,sum_household_size_distribution,N5630,neighbourhood
5640,TERWILLEGAR TOWNE,pihêsiwin,6040.0,2025.0,1.8537871576845646,total_population,sum_household_size_distribution,N5640,neighbourhood
